Event Date,Case Status,Inspection Number,Establishment Name,Report ID,Street Address,City,State,ZIP Code,Union Status,Abstract,Summary,NAICS,Age,Sex,Degree of Injury,Occupation,Coordinates
06/15/2024,CLOSED,1756686.015,Mattson Distributing A Watts Steam Store Company,1032500,11711 West Fairview Avenue,Boise,ID,83713,NonUnion,"One employee dies, another experience distress in heat-related stress","At 6:00 a.m. on June 15, 2024, Employee #1, employed in a sales position, and Employee #2 were working with a client when both employees were affected by alleged heat exposure. Employee #1 passed out and later died due to the heat-related incident. Employee #2 also experienced distress and was transported to the hospital for treatment.",532490/Other Commercial and Industrial Machinery and Equipment Rental and Leasing,62,M,Fatality,"Sales workers, parts","(43.63768081522264, -116.33342206410565)"
06/08/2024,OPEN,1754345.015,Julio Garcia,625700,3306 La-28,Pineville,LA,71360,NonUnion,Employee dies from heat stroke after roofing work,"At 6:00 p.m. on June 8, 2024, Employee #1, who had been performing roofing work throughout the day, went to make a phone call after completing the installation and cleaning up. Shortly after, the employee was found unresponsive next to a dumpster. Emergency services were called, and the employee was transported to the hospital, where it was determined that the cause of death was heat stroke. The high temperatures on the worksite, coupled with physical exertion, likely contributed to the heat-related illness.",238160/Roofing Contractors,36,M,Fatality,,"(31.345093786758895, -92.39295239604742)"
06/06/2024,CLOSED,1755843.015,"Nhc-Fl126, Llc",420600,3700 Highway 17,Davenport,FL,33837,NonUnion,Employee dies from heat exhaustion while painting speed bump,"At 1:48 p.m. on June 6, 2024, an employee was painting speed bumps and walkways when they began to feel ill. The employee exhibited symptoms consistent with heat exhaustion, including dehydration. Despite efforts to assist, the employee died from the effects of heat-related illness.",721211/RV (Recreational Vehicle) Parks and Campgrounds,74,M,Fatality,"Painters, construction and maintenance","(28.20524859593909, -81.61083896751269)"
06/05/2024,OPEN,1753424.015,Negrete'S Construction,626000,Mile Marker 18 Interstate 35 South,Laredo,TX,78043,NonUnion,Employee suffers fatal heat stroke due to excessive ambient,"At 3:15 p.m. on June 5, 2024, employees noticed that their coworker, Employee #1, appeared unwell and advised him to go to the car and cool off in the air conditioning. About 15 minutes later, the employee was found on the ground experiencing convulsions. Emergency services were called, and paramedics performed CPR while transporting the employee to the hospital. Unfortunately, Employee #1 was pronounced dead on arrival. At 5:18 p.m., the Medical Examiner recorded the employee's core temperature at 108.7�F. The cause of death was determined to be heat stroke due to excessive ambient heat.",238110/Poured Concrete Foundation and Structure Contractors,38,M,Fatality,,"(27.51657055078125, -99.46936548359375)"
05/21/2024,OPEN,1750189.015,Platinum Duct L.L.C.,552651,186 West Wattles,Troy,MI,48007,NonUnion,One employee dies from heat stroke,"At 2:52 p.m. on May 21, 2024, Employee #1, employed in construction, was coming out of an attic when the employee suffered a seizure due to heat stroke. Employee #1 was pronounced dead at the scene. Employee #2, who was also working at the same time, was hospitalized to treat heat-related symptoms.","238220/ Plumbing, Heating, and Air-Conditioning Contractors",37,M,Fatality,,"(42.580161, -83.143050)"
04/30/2024,OPEN,1750111.015,Exe Logistics Solutions Llc,625400,320 Deep Roots Drive,Buda,TX,78610,NonUnion,Employee dies from heat illness and toxic effects of methamp,"At 2:30 p.m. on April 30, 2024, Employee #1, employed at a warehouse facility, was unloading boxes from a trailer when he began experiencing symptoms of heat illness. He eventually collapsed, and emergency medical services (EMS) were called. The employee was transported to the hospital, where he died. The medical examiner ruled the cause of death as an accident due to the toxic effects of methamphetamine, with contributing conditions of hypertensive cardiovascular disease associated with morbid obesity.",493110/General Warehousing and Storage,36,M,Fatality,"Laborers, except construction","(30.074932262708717, -97.7653722028757)"
04/12/2024,OPEN,1742027.015,"Blackwell Grower, Llc",627700,15600 West Adobe Road,Blackwell,OK,74631,NonUnion,Employee dies from UTI after becoming ill on farm in heat,"On April 9, 2024, an employee working as a farm worker for a produce farm began feeling ill while working in the heat. On April 10, 2024, the employer took the employee to a doctor who prescribed antibiotics. At 8:oo p.m. on April 12, 2024, the employer dropped the employee off outside of the hospital and left. Medical personnel saw him in distress outside and rendered care to him. The employee died from a urinary tract infection (UTI) due to a delay in treatment.",111419/Other Food Crops Grown Under Cover,57,M,Fatality,"Graders and sorters, agricultural products","(36.798634441566264, -97.29354484698796)"
12/04/2023,OPEN,1715319.015,"Guerrero Ag, Llc",420600,12010 Fl-70,Arcadia,FL,34266,NonUnion,Employee dies from heat stroke and rhabdomyolysis,"At 4:00 p.m. on December 4, 2023, an employee was picking oranges. The employee started to act erratic. The employee died from heat stroke and rhabdomyolysis.",111310/Orange Groves,42,M,Fatality,"Farmers, except horticultural","(27.197468312969924, -81.87480647988723)"
09/16/2023,OPEN,1698609.015,Mcneill Labor Management Inc.,418800,"26�ｿｽ45'17""N 80�ｿｽ23'16""W",Loxahatchee,FL,33470,NonUnion,Employee dies of heat-related illness,"On September 13, 2023, an employee who was engaged in sugar cane planting operations in an open field began to feel ill and collapsed and was transported to a hospital.  On September 16, 2024, the employee died of injuries related to heat-stroke.",115115/Farm Labor Contractors and Crew Leaders,26,M,Fatality,Horticultural specialty farmers,"(26.747493396129034, -80.30103548709677)"
09/07/2023,CLOSED,1698692.015,9line Transport Inc.,625400,1137 Gunter Street,Austin,TX,78721,NonUnion,Employee dies of heat-related illness,"At 6:00 p.m. on September 7, 2023, an employee was delivering packages. The employee was exposed to the hazard of high heat from direct sun and radiant heat during the performance of his job duties, including loading his vehicle with packages, sorting packages, retrieving items, lifting packages up to 50 pounds or more, collecting signatures if needed, upkeeping of the vehicle, and driving to multiple locations.  The packages were varied in size, weight, and quantity, which contributed to the physical demand put on the driver to lift and deliver packages in a productive manner.  The National Weather Service issued a heat advisory that included the worksite in Austin, TX, on the day of the incident. 9 Line Transport Inc. is a third party contractor that assists in conducting deliveries for Amazon's distribution warehouse.  Employees routinely work outdoors in excessive heat conditions. The hazard associated is working in excessive heat conditions when performing multiple deliveries, while not having access to a cool down area.  The employees deliver packages varying in size, weight, and quantity to various locations, while being exposed to the heat inside the vehicle and heat produced when stuck in traffic.  The employees do not have air conditioning in all the vehicles, and while making deliveries spend several minutes looking through their cargo to find the packages that need to be delivered.  Working in a metal shell truck increases the outside temperature about 10 degrees per every 5 minutes sitting in the sun.  Employees have limited means to regulate their body's temperature due to the physical demand of delivering multiple packages at a rapid pace; then, getting into a hot vehicle, it is difficult to dissipate their own metabolic heat.  The detective reported that the temperature inside of the truck was 105 degrees and it did not have A/C. The employee died of cardiac arrest with heat-related illness playing a factor.",492110/Couriers,46,M,Fatality,"Truck drivers, light","(30.273289550585936, -97.68484505029296)"
